id,dose,response,z2,z3,z4,resp_nonlive,resp_normal,resp_malform,dose2,dosesqrt,dosenew,dosenew2
1,0,3,0,0,0,1,0,1,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0
5,0,2,0,0,0,0,0,1,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,0,1,0,0,0,0,0
6,0,3,0,0,0,1,0,1,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,1,0,0,0,0,0
7,0,3,0,0,0,1,0,1,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,0
11,0,3,0,0,0,1,0,1,0,0,0,0
11,0,1,0,0,0,0,1,0,0,0,0,0
11,0,1,0,0,0,0,1,0,0,0,0,0
11,0,1,0,0,0,0,1,0,0,0,0,0
11,0,1,0,0,0,0,1,0,0,0,0,0
11,0,1,0,0,0,0,1,0,0,0,0,0
11,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
13,0,1,0,0,0,0,1,0,0,0,0,0
14,0,1,0,0,0,0,1,0,0,0,0,0
14,0,1,0,0,0,0,1,0,0,0,0,0
14,0,1,0,0,0,0,1,0,0,0,0,0
14,0,1,0,0,0,0,1,0,0,0,0,0
14,0,1,0,0,0,0,1,0,0,0,0,0
